rank,domain
1,blogspot.com
2,wikipedia.org
3,wiktionary.org
4,wordpress.org
5,google.com
6,europa.eu
7,aif.ru
8,oclc.org
9,made-in-china.com
10,qq.com
11,nii.ac.jp
12,apple.com
13,rakuten.co.jp
14,pixnet.net
15,hh.ru
16,nih.gov
17,googlesource.com
18,exblog.jp
19,indiatimes.com
20,wikimedia.org
21,amazonaws.com
22,ox.ac.uk
23,spydus.co.uk
24,mail.ru
25,microsoft.com
26,spb.ru
27,hatenablog.com
28,airbnb.com
29,sina.com.cn
30,mit.edu
31,freepik.com
32,nasa.gov
33,wisc.edu
34,fandom.com
35,unam.mx
36,berkeley.edu
37,free.fr
38,sapo.pt
39,noaa.gov
40,web.app
41,wikisource.org
42,libsyn.com
43,alibaba.com
44,uol.com.br
45,app.link
46,oracle.com
47,mozilla.org
48,yandex.ru
49,appspot.com
50,seesaa.net
51,udn.com
52,mpg.de
53,line.me
54,yahoo.co.jp
55,stanford.edu
56,nsw.gov.au
57,rambler.ru
58,youtube.com
59,worldbank.org
60,debian.org
61,rbc.ru
62,tvp.pl
63,github.io
64,github.com
65,mynavi.jp
66,substack.com
67,adobe.com
68,duke.edu
69,workplace.com
70,admin.ch
71,ubc.ca
72,ca.gov
73,sohu.com
74,usp.br
75,af.mil
76,163.com
77,ning.com
78,wixsite.com
79,muni.cz
80,org.ru
81,illinois.edu
82,un.org
83,upenn.edu
84,cam.ac.uk
85,wikidot.com
86,cornell.edu
87,godaddy.com
88,ubuntu.com
89,tistory.com
90,cloudfront.net
91,impress.co.jp
92,cocolog-nifty.com
93,weebly.com
94,yale.edu
95,harvard.edu
96,utoronto.ca
97,atlassian.net
98,wikibooks.org
99,shein.com
100,usgs.gov
101,craigslist.org
102,ibm.com
103,wikiquote.org
104,opera.com
105,gov.ru
106,voanews.com
107,banggood.com
108,blog.jp
109,freelancer.com
110,archive.org
111,sap.com
112,ndl.go.jp
113,msk.ru
114,sakura.ne.jp
115,afternic.com
116,yahoo.com
117,usda.gov
118,amazon.com
119,fedoraproject.org
120,nist.gov
121,elpais.com
122,shopify.com
123,launchpad.net
124,usu.edu
125,si.edu
126,arizona.edu
127,bing.com
128,psu.edu
129,krakow.pl
130,kayak.com
131,princeton.edu
132,ub.edu
133,bnf.fr
134,iastate.edu
135,porsche.com
136,android.com
137,mathworks.com
138,cuni.cz
139,academic.ru
140,chinaz.com
141,hatenablog.jp
142,umd.edu
143,docomo.ne.jp
144,kremlin.ru
145,loc.gov
146,azurewebsites.net
147,wikinews.org
148,hatena.ne.jp
149,uefa.com
150,siemens.com
151,iu.edu
152,hse.ru
153,over-blog.com
154,redhat.com
155,umn.edu
156,hypotheses.org
157,univie.ac.at
158,msu.edu
159,narod.ru
160,unlp.edu.ar
161,livedoor.biz
162,ethz.ch
163,weblio.jp
164,marketscreener.com
165,uk.com
166,herokuapp.com
167,nicovideo.jp
168,livedoor.blog
169,livejournal.com
170,mcmaster.ca
171,bibliocommons.com
172,cern.ch
173,uc.pt
174,wustl.edu
175,vecteezy.com
176,yorku.ca
177,nyu.edu
178,salesforce.com
179,aliyun.com
180,foursquare.com
181,gouv.qc.ca
182,uni-heidelberg.de
183,hindustantimes.com
184,hugedomains.com
185,samsung.com
186,as.com
187,uni-tuebingen.de
188,kb.se
189,freebsd.org
190,hateblo.jp
191,hawaii.edu
192,washington.edu
193,chinadaily.com.cn
194,trip.com
195,uwaterloo.ca
196,err.ee
197,tufts.edu
198,intuit.com
199,umich.edu
200,uscourts.gov
201,google.cn
202,libretexts.org
203,utah.edu
204,ucla.edu
205,jd.com
206,ncsu.edu
207,trend.az
208,kit.edu
209,cnrs.fr
210,colorado.edu
211,hotels.com
212,dict.cc
213,shop-pro.jp
214,msu.ru
215,apache.org
216,globalvoices.org
217,utexas.edu
218,unl.pt
219,wa.gov
220,com.ru
221,pchome.com.tw
222,itmedia.co.jp
223,fu-berlin.de
224,texas.gov
225,uab.cat
226,nt.gov.au
227,canada.ca
228,ulisboa.pt
229,purdue.edu
230,onet.pl
231,army.mil
232,finalsite.net
233,cnr.it
234,talent.com
235,st-andrews.ac.uk
236,uni-bonn.de
237,sch.gr
238,uchile.cl
239,snu.ac.kr
240,rutgers.edu
241,obozrevatel.com
242,gva.es
243,ugent.be
244,u-tokyo.ac.jp
245,uw.edu.pl
246,nrw.de
247,ucsb.edu
248,unifrance.org
249,ntu.edu.tw
250,columbia.edu
251,walla.co.il
252,ufsc.br
253,odoo.com
254,anu.edu.au
255,wikivoyage.org
256,poznan.pl
257,ria.ru
258,us.com
259,libreoffice.org
260,ceskatelevize.cz
261,telegram.org
262,uned.es
263,byu.edu
264,gamer.com.tw
265,entrepreneur.com
266,pravda.sk
267,ufl.edu
268,tradingview.com
269,in.gov
270,espn.com
271,fau.de
272,mn.gov
273,net.ru
274,ugr.es
275,statcounter.com
276,diva-portal.org
277,ovh.net
278,frontiersin.org
279,playstation.com
280,china.com
281,linternaute.com
282,indiana.edu
283,virginia.edu
284,mirtesen.ru
285,bundestag.de
286,archlinux.org
287,iol.pt
288,bayern.de
289,house.gov
290,uoa.gr
291,openedition.org
292,osu.edu
293,vt.edu
294,imgur.com
295,gov.sk
296,people.com.cn
297,teachable.com
298,virginia.gov
299,biglobe.ne.jp
300,unibo.it
301,cuny.edu
302,eclipse.org
303,excite.co.jp
304,uct.ac.za
305,tvbs.com.tw
306,t.me
307,uni-stuttgart.de
308,uni-hamburg.de
309,baidu.com
310,wix.com
311,copernicus.org
312,atlassian.com
313,statcan.gc.ca
314,lodz.pl
315,temple.edu
316,kde.org
317,stlouisfed.org
318,opensuse.org
319,habr.com
320,niedersachsen.de
321,steampowered.com
322,art.pl
323,donga.com
324,uzh.ch
325,inform.kz
326,arcgis.com
327,cbssports.com
328,desktopnexus.com
329,buzzsprout.com
330,news12.com
331,lenovo.com
332,ufrj.br
333,lublin.pl
334,uni-lj.si
335,us.es
336,hu-berlin.de
337,hp.com
338,xrea.com
339,uni-goettingen.de
340,mediaset.it
341,youtube-nocookie.com
342,fao.org
343,office.com
344,expansion.mx
345,gov.bc.ca
346,gutenberg.org
347,zenfolio.com
348,senate.gov
349,gatech.edu
350,wikileaks.org
351,parktons.com
352,ucm.es
353,gta5-mods.com
354,flagcounter.com
355,korrespondent.net
356,mhlw.go.jp
357,rs-online.com
358,ccm.net
359,bme.hu
360,culture.gouv.fr
361,bsky.app
362,tum.de
363,maryland.gov
364,developpement-durable.gouv.fr
365,ine.es
366,interia.pl
367,unsplash.com
368,ut.ac.ir
369,tyc.edu.tw
370,hpe.com
371,ibiblio.org
372,uservoice.com
373,newsru.com
374,moe.edu.tw
375,rp.pl
376,bg.ac.rs
377,ndtv.com
378,wikiversity.org
379,ucsd.edu
380,uba.ar
381,usc.edu
382,cvut.cz
383,ria.com
384,hubspot.com
385,cointelegraph.com
386,iheart.com
387,dmm.com
388,zenit.org
389,r7.com
390,ojp.gov
391,neocities.org
392,sinica.edu.tw
393,elespanol.com
394,live.com
395,uni-muenchen.de
396,www.gov.uk
397,ulaval.ca
398,perfil.com
399,pp.ua
400,cnet.com
401,cbsnews.com
402,unicamp.br
403,jotform.com
404,tableau.com
405,sogou.com
406,euskadi.eus
407,netlify.app
408,firebaseapp.com
409,stripe.com
410,nuget.org
411,sky.it
412,adelaide.edu.au
413,legistar.com
414,main.jp
415,com.de
416,v2ex.com
417,uq.edu.au
418,unisa.it
419,utah.gov
420,ny.gov
421,nypl.org
422,r-project.org
423,unifr.ch
424,rtp.pt
425,uv.es
426,usps.com
427,uvic.ca
428,overheid.nl
429,icm.edu.pl
430,archives.gov
431,prnewswire.com
432,issuu.com
433,panasonic.com
434,bund.de
435,alberta.ca
436,unipd.it
437,service.gov.uk
438,sld.cu
439,cancer.gov
440,sagepub.com
441,pitt.edu
442,business-gazeta.ru
443,umk.pl
444,overdrive.com
445,tengrinews.kz
446,gnome.org
447,puma.com
448,globo.com
449,twitcasting.tv
450,blog.hu
451,ucdavis.edu
452,miami.edu
453,xsrv.jp
454,ligazakon.net
455,ku.edu
456,uma.es
457,praca.gov.pl
458,sfu.ca
459,mts.ru
460,ifeng.com
461,unc.edu
462,toyota.com
463,belta.by
464,vercel.app
465,ettoday.net
466,tokyo.lg.jp
467,ucr.ac.cr
468,unistra.fr
469,timesnownews.com
470,omeka.net
471,upc.edu
472,uiowa.edu
473,majestic.com
474,bplaced.net
475,vietnamplus.vn
476,rezdy.com
477,answers.com
478,netbsd.org
479,ncl.ac.uk
480,ru.nl
481,idnes.cz
482,unt.edu
483,semrush.com
484,telegraph.co.uk
485,huawei.com
486,nvidia.com
487,hatenadiary.jp
488,inrae.fr
489,nfl.com
490,blizzard.com
491,vnexpress.net
492,cafe24.com
493,unsw.edu.au
494,imdb.com
495,kommersant.ru
496,kyoto-u.ac.jp
497,telegra.ph
498,dcinside.com
499,epfl.ch
500,educations.com
